Titulo;Temporada;Estudios;Temas;Generos;Estreia;Transmissão;Nota;Qntd Avaliações;Faixa-etaria;Qntd de Membros;Favoritado por;Produtores;Distribuidores
"Koroshi Ai";"winter";"Platinum Vision";"Adult Cast|Organized Crime";"Action|Romance";"13/01/2022";"Thursdays at 00:00 (JST)";"6.91";"63.105";"R - 17+ (violence & profanity)";"171.789";"974";"Toy's Factory|Crunchyroll|Kadokawa Media House|Kadokawa|Bit Promotion|Bit grooove promotion|A3";"N/A"
"Leadale no Daichi nite";"winter";"Maho Film";"Isekai|Reincarnation";"Adventure|Fantasy";"05/01/2022";"Wednesdays at 23:30 (JST)";"6.95";"82.219";"PG-13 - Teens 13 or older";"163.514";"909";"Crunchyroll|Kadokawa Media House|Sun TV|Kadokawa|Bandai Namco Arts|Simplicity";"N/A"
"Princess Connect! Re:Dive Season 2";"winter";"CygamesPictures";"N/A";"Adventure|Comedy|Fantasy|Gourmet";"11/01/2022";"Tuesdays at 00:00 (JST)";"7.76";"47.322";"PG-13 - Teens 13 or older";"128.764";"828";"WOWOW|Nippon Columbia|Tokyo MX|BS11|Cygames";"N/A"
"Kenja no Deshi wo Nanoru Kenja";"winter";"Studio A-CAT";"Isekai|Magical Sex Shift";"Adventure|Fantasy";"12/01/2022";"Wednesdays at 00:30 (JST)";"6.33";"52.213";"PG-13 - Teens 13 or older";"125.262";"653";"DAX Production|MAGES.|Kadokawa|Micro Magazine Publishing|MAGNET|Micro House";"Funimation"
"Orient";"winter";"A.C.G.T.";"Historical|Samurai";"Action|Adventure|Fantasy";"06/01/2022";"Thursdays at 00:00 (JST)";"6.61";"41.334";"PG-13 - Teens 13 or older";"114.892";"519";"TV Tokyo|Kodansha|AT-X|Avex Pictures|bilibili|Crunchyroll";"N/A"
"Heike Monogatari";"winter";"Science SARU";"Historical|Samurai";"Drama|Supernatural";"13/01/2022";"Thursdays at 01:05 (JST)";"7.78";"26.239";"PG-13 - Teens 13 or older";"81.975";"696";"Dentsu|Pony Canyon|Fuji TV|Asmik Ace|BS Fuji|bilibili";"Funimation"
"Ryman's Club";"winter";"LIDENFILMS";"Adult Cast|Workplace";"Sports";"30/01/2022";"Sundays at 01:30 (JST)";"7.35";"28.793";"PG-13 - Teens 13 or older";"78.247";"533";"TV Asahi|Glovision";"N/A"
"Tokyo 24-ku";"winter";"CloverWorks";"Super Power";"Mystery|Sci-Fi";"06/01/2022";"Thursdays at 00:30 (JST)";"6.34";"21.528";"PG-13 - Teens 13 or older";"67.944";"209";"Aniplex|Movic|Nitroplus|Nagoya Broadcasting Network|BS11|ABC Animation";"Aniplex of America"
"Slow Loop";"winter";"Connect";"CGDCT|Iyashikei";"Gourmet|Slice of Life";"07/01/2022";"Fridays at 22:00 (JST)";"7.25";"23.630";"PG-13 - Teens 13 or older";"64.092";"290";"AT-X|flying DOG|Houbunsha|Kadokawa Media House|Kadokawa|eStream";"N/A"
"Baraou no Souretsu";"winter";"J.C.Staff";"Historical";"Action|Drama|Supernatural";"09/01/2022";"Sundays at 22:30 (JST)";"6.37";"13.053";"PG-13 - Teens 13 or older";"60.697";"391";"Lantis|Akita Shoten";"Crunchyroll"
"Kaijin Kaihatsu-bu no Kuroitsu-san";"winter";"Quad";"Workplace";"Comedy|Fantasy";"09/01/2022";"Sundays at 02:00 (JST)";"6.71";"19.386";"PG-13 - Teens 13 or older";"58.244";"173";"TV Asahi|ABC Animation|Crest|ABC Frontier";"N/A"
"Spy x Family";"spring";"Wit Studio|CloverWorks";"Childcare";"Action|Award Winning|Comedy";"09/04/2022";"Saturdays at 23:00 (JST)";"8.51";"984.892";"PG-13 - Teens 13 or older";"1.599.236";"39.473";"TV Tokyo|Shogakukan-Shueisha Productions|TOHO animation|Shueisha";"Funimation"
"Kaguya-sama wa Kokurasetai: Ultra Romantic";"spring";"A-1 Pictures";"School";"Comedy|Romance";"09/04/2022";"Saturdays at 00:00 (JST)";"9";"539.146";"PG-13 - Teens 13 or older";"952.111";"31.504";"Aniplex|Mainichi Broadcasting System|Magic Capsule|Shueisha|JR East Marketing & Communications";"Aniplex of America"
"Tate no Yuusha no Nariagari Season 2";"spring";"Kinema Citrus|DR Movie";"Isekai";"Action|Adventure|Drama|Fantasy";"06/04/2022";"Wednesdays at 22:00 (JST)";"6.52";"274.738";"PG-13 - Teens 13 or older";"771.345";"12.360";"Frontier Works|AT-X|Nippon Columbia|Glovision|Good Smile Company|Sammy|Crunchyroll|Kadokawa Media House|NTT Plala|Kadokawa";"N/A"
"Summertime Render";"spring";"OLM";"Time Travel";"Mystery|Supernatural|Suspense";"15/04/2022";"Fridays at 00:00 (JST)";"8.48";"229.118";"R - 17+ (violence & profanity)";"546.745";"9.254";"Shogakukan-Shueisha Productions|Movic|MAGES.|Tokyo MX|Shueisha|Toy's Factory|Bandai Spirits";"N/A"
"Kawaii dake ja Nai Shikimori-san";"spring";"Doga Kobo";"School";"Comedy|Romance";"10/04/2022";"Sundays at 02:00 (JST)";"6.93";"231.018";"PG-13 - Teens 13 or older";"540.501";"4.911";"Kodansha|NBCUniversal Entertainment Japan|ABC Animation";"Crunchyroll|Muse Communication"
"Komi-san wa, Comyushou desu. 2nd Season";"spring";"OLM";"Romantic Subtext|School";"Comedy";"07/04/2022";"Thursdays at 00:00 (JST)";"8.02";"244.080";"PG-13 - Teens 13 or older";"490.896";"3.882";"TV Tokyo|Dentsu|Shogakukan-Shueisha Productions|Half H.P Studio|Nippon Columbia";"N/A"
"Tomodachi Game";"spring";"Okuruto Noboru";"High Stakes Game|Psychological|Strategy Game";"Suspense";"06/04/2022";"Wednesdays at 01:29 (JST)";"7.72";"211.459";"R - 17+ (violence & profanity)";"407.319";"4.114";"Kodansha|Studio Mausu|Nippon Television Network|King Records";"Crunchyroll"
"Aharen-san wa Hakarenai";"spring";"Felix Film";"School";"Comedy|Romance";"02/04/2022";"Saturdays at 02:25 (JST)";"7.28";"146.448";"PG-13 - Teens 13 or older";"339.615";"2.250";"bilibili";"Crunchyroll"
"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu";"spring";"Studio Kai|HORNETS";"Isekai";"Action|Adventure|Fantasy";"07/04/2022";"Thursdays at 23:30 (JST)";"7.15";"161.169";"R - 17+ (violence & profanity)";"314.285";"1.740";"Pony Canyon|AT-X|DAX Production|Docomo Anime Store|Overlap|Crunchyroll|Muse Communication|MAGNET";"N/A"
"Otome Game Sekai wa Mob ni Kibishii Sekai desu";"spring";"ENGI";"Harem|Isekai|Mecha|Reincarnation|School";"Action|Fantasy|Romance";"03/04/2022";"Sundays at 22:00 (JST)";"7.33";"165.665";"PG-13 - Teens 13 or older";"313.715";"2.092";"AT-X|Sammy|bilibili|Kadokawa Media House|Kadokawa|Micro Magazine Publishing|Micro House";"Crunchyroll"
"Yuusha, Yamemasu";"spring";"EMT Squared";"N/A";"Action|Adventure|Comedy|Fantasy";"05/04/2022";"Tuesdays at 22:30 (JST)";"7.02";"143.838";"PG-13 - Teens 13 or older";"303.798";"1.720";"AT-X|flying DOG|Glovision|Kadokawa|Tencent Games";"Sentai Filmworks"
"Paripi Koumei";"spring";"P.A. Works";"Adult Cast|Music|Reincarnation|Showbiz";"Comedy|Supernatural";"05/04/2022";"Tuesdays at 23:00 (JST)";"8.13";"145.742";"PG-13 - Teens 13 or older";"299.558";"2.621";"Mainichi Broadcasting System|Kodansha|Avex Pictures|DMM pictures|Bit grooove promotion";"Sentai Filmworks"
"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru";"spring";"SILVER LINK.|Blade";"Harem|Reincarnation|School";"Action|Fantasy";"06/04/2022";"Wednesdays at 21:00 (JST)";"6.29";"136.244";"PG-13 - Teens 13 or older";"286.838";"1.527";"AT-X|Docomo Anime Store|Kadokawa Media House|BS NTV|Kadokawa|Simplicity|Bandai Namco Music Live";"Crunchyroll"
"Kakkou no Iinazuke";"spring";"SynergySP|Shin-Ei Animation";"Harem";"Comedy|Romance";"24/04/2022";"Sundays at 01:30 (JST)";"6.88";"108.392";"PG-13 - Teens 13 or older";"284.632";"2.241";"TV Asahi|Kodansha|Crunchyroll|Kadokawa";"N/A"
"Date A Live IV";"spring";"Geek Toys";"Harem|School";"Action|Fantasy|Romance|Sci-Fi";"08/04/2022";"Fridays at 22:00 (JST)";"7.76";"89.800";"R - 17+ (violence & profanity)";"257.647";"3.465";"AT-X|Nippon Columbia|Docomo Anime Store|Kadokawa Media House|Kadokawa";"Crunchyroll"
"Koi wa Sekai Seifuku no Ato de";"spring";"Project No.9";"Parody";"Action|Comedy|Romance";"08/04/2022";"Fridays at 21:30 (JST)";"7.41";"102.640";"PG-13 - Teens 13 or older";"239.833";"1.033";"Toei Video|Pony Canyon|AT-X|KlockWorx|Asmik Ace|TV Aichi|Yomiuri Shimbun|APDREAM|arma bianca|Bit grooove promotion|Dream Shift|BS Asahi|Happinet Phantom Studios|Bergamo";"Crunchyroll"
"Ao Ashi";"spring";"Production I.G";"Team Sports";"Sports";"09/04/2022";"Saturdays at 18:25 (JST)";"8.18";"108.934";"PG-13 - Teens 13 or older";"216.214";"3.086";"Shogakukan-Shueisha Productions|Marvelous Entertainment|NHK Enterprises|Bandai Spirits";"Crunchyroll"
"Shokei Shoujo no Virgin Road";"spring";"J.C.Staff";"Isekai";"Action|Adventure|Fantasy";"02/04/2022";"Saturdays at 00:30 (JST)";"6.77";"57.512";"R - 17+ (violence & profanity)";"162.887";"733";"Warner Bros. Japan|Hakuhodo DY Music & Pictures|Egg Firm|SB Creative|Creek";"Sentai Filmworks"
"Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season";"spring";"Ajia-do";"Isekai|Reincarnation";"Fantasy";"12/04/2022";"Tuesdays at 02:29 (JST)";"8.07";"77.571";"PG-13 - Teens 13 or older";"160.395";"938";"WOWOW|KlockWorx|flying DOG|BS Fuji|Yomiuri TV Enterprise|TO Books|JTB Next Creation|MediaNet Pictures|Happinet Phantom Studios";"Crunchyroll"
"Mahoutsukai Reimeiki";"spring";"Tezuka Productions";"Anthropomorphic";"Action|Adventure|Comedy|Fantasy";"08/04/2022";"Fridays at 01:58 (JST)";"6.39";"54.982";"PG-13 - Teens 13 or older";"159.667";"750";"TBS|Kodansha|NBCUniversal Entertainment Japan|BS11|Nichion|NichiNare|DMM pictures|Bit grooove promotion";"Crunchyroll"
"Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart";"spring";"Zero-G";"Adult Cast";"Comedy|Romance";"02/04/2022";"Saturdays at 01:30 (JST)";"7.3";"51.702";"PG-13 - Teens 13 or older";"152.503";"514";"Sony Music Entertainment|BS Fuji|Flex Comix|Hokkaido Cultural Broadcasting|Office Nobu|bilibili|Yomiuri TV Enterprise|Kanetsu Investment|Toyo Recording|Global Solutions|SUPA LOVE|BloomZ|Mirai-Kojo|AMG Entertainment|Starry Cube";"N/A"
"Deaimon";"spring";"Encourage Films";"Childcare|Workplace";"Slice of Life";"06/04/2022";"Wednesdays at 23:30 (JST)";"7.55";"43.289";"PG-13 - Teens 13 or older";"97.544";"443";"flying DOG|Kadokawa|Midorimatsu";"N/A"
"Dance Dance Danseur";"spring";"MAPPA";"Performing Arts";"Drama";"09/04/2022";"Saturdays at 01:25 (JST)";"7.83";"34.162";"PG-13 - Teens 13 or older";"85.224";"634";"Mainichi Broadcasting System|Shogakukan|dugout|DMM Music|Creek";"N/A"
"Machikado Mazoku: 2-choume";"spring";"J.C.Staff";"CGDCT|Mahou Shoujo|School";"Comedy|Fantasy";"08/04/2022";"Fridays at 01:28 (JST)";"7.85";"25.263";"PG-13 - Teens 13 or older";"69.248";"341";"Pony Canyon|Houbunsha|Medicos Entertainment|BS11|RAY|Nichion";"Sentai Filmworks"
"Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto";"spring";"Lay-duce";"Idols (Male)|School";"N/A";"07/04/2022";"Thursdays at 22:30 (JST)";"7.27";"25.434";"PG-13 - Teens 13 or older";"68.969";"422";"Movic|Futabasha|U-NEXT|MusicRay’n|INCS toenter|Marui Group|Lawson Entertainment|tamakoshi|flaggs|Laulea Works|Alice";"Crunchyroll"
"Spy x Family";"spring";"Wit Studio|CloverWorks";"Childcare";"Action|Award Winning|Comedy";"09/04/2022";"Saturdays at 23:00 (JST)";"8.51";"984.892";"PG-13 - Teens 13 or older";"1.599.236";"39.473";"TV Tokyo|Shogakukan-Shueisha Productions|TOHO animation|Shueisha";"Funimation"
"Kaguya-sama wa Kokurasetai: Ultra Romantic";"spring";"A-1 Pictures";"School";"Comedy|Romance";"09/04/2022";"Saturdays at 00:00 (JST)";"9";"539.146";"PG-13 - Teens 13 or older";"952.111";"31.504";"Aniplex|Mainichi Broadcasting System|Magic Capsule|Shueisha|JR East Marketing & Communications";"Aniplex of America"
"Tate no Yuusha no Nariagari Season 2";"spring";"Kinema Citrus|DR Movie";"Isekai";"Action|Adventure|Drama|Fantasy";"06/04/2022";"Wednesdays at 22:00 (JST)";"6.52";"274.738";"PG-13 - Teens 13 or older";"771.345";"12.360";"Frontier Works|AT-X|Nippon Columbia|Glovision|Good Smile Company|Sammy|Crunchyroll|Kadokawa Media House|NTT Plala|Kadokawa";"N/A"
"Summertime Render";"spring";"OLM";"Time Travel";"Mystery|Supernatural|Suspense";"15/04/2022";"Fridays at 00:00 (JST)";"8.48";"229.118";"R - 17+ (violence & profanity)";"546.745";"9.254";"Shogakukan-Shueisha Productions|Movic|MAGES.|Tokyo MX|Shueisha|Toy's Factory|Bandai Spirits";"N/A"
"Kawaii dake ja Nai Shikimori-san";"spring";"Doga Kobo";"School";"Comedy|Romance";"10/04/2022";"Sundays at 02:00 (JST)";"6.93";"231.018";"PG-13 - Teens 13 or older";"540.501";"4.911";"Kodansha|NBCUniversal Entertainment Japan|ABC Animation";"Crunchyroll|Muse Communication"
"Komi-san wa, Comyushou desu. 2nd Season";"spring";"OLM";"Romantic Subtext|School";"Comedy";"07/04/2022";"Thursdays at 00:00 (JST)";"8.02";"244.080";"PG-13 - Teens 13 or older";"490.896";"3.882";"TV Tokyo|Dentsu|Shogakukan-Shueisha Productions|Half H.P Studio|Nippon Columbia";"N/A"
"Tomodachi Game";"spring";"Okuruto Noboru";"High Stakes Game|Psychological|Strategy Game";"Suspense";"06/04/2022";"Wednesdays at 01:29 (JST)";"7.72";"211.459";"R - 17+ (violence & profanity)";"407.319";"4.114";"Kodansha|Studio Mausu|Nippon Television Network|King Records";"Crunchyroll"
"Aharen-san wa Hakarenai";"spring";"Felix Film";"School";"Comedy|Romance";"02/04/2022";"Saturdays at 02:25 (JST)";"7.28";"146.448";"PG-13 - Teens 13 or older";"339.615";"2.250";"bilibili";"Crunchyroll"
"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu";"spring";"Studio Kai|HORNETS";"Isekai";"Action|Adventure|Fantasy";"07/04/2022";"Thursdays at 23:30 (JST)";"7.15";"161.169";"R - 17+ (violence & profanity)";"314.285";"1.740";"Pony Canyon|AT-X|DAX Production|Docomo Anime Store|Overlap|Crunchyroll|Muse Communication|MAGNET";"N/A"
"Otome Game Sekai wa Mob ni Kibishii Sekai desu";"spring";"ENGI";"Harem|Isekai|Mecha|Reincarnation|School";"Action|Fantasy|Romance";"03/04/2022";"Sundays at 22:00 (JST)";"7.33";"165.665";"PG-13 - Teens 13 or older";"313.715";"2.092";"AT-X|Sammy|bilibili|Kadokawa Media House|Kadokawa|Micro Magazine Publishing|Micro House";"Crunchyroll"
"Yuusha, Yamemasu";"spring";"EMT Squared";"N/A";"Action|Adventure|Comedy|Fantasy";"05/04/2022";"Tuesdays at 22:30 (JST)";"7.02";"143.838";"PG-13 - Teens 13 or older";"303.798";"1.720";"AT-X|flying DOG|Glovision|Kadokawa|Tencent Games";"Sentai Filmworks"
"Paripi Koumei";"spring";"P.A. Works";"Adult Cast|Music|Reincarnation|Showbiz";"Comedy|Supernatural";"05/04/2022";"Tuesdays at 23:00 (JST)";"8.13";"145.742";"PG-13 - Teens 13 or older";"299.558";"2.621";"Mainichi Broadcasting System|Kodansha|Avex Pictures|DMM pictures|Bit grooove promotion";"Sentai Filmworks"
"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru";"spring";"SILVER LINK.|Blade";"Harem|Reincarnation|School";"Action|Fantasy";"06/04/2022";"Wednesdays at 21:00 (JST)";"6.29";"136.244";"PG-13 - Teens 13 or older";"286.838";"1.527";"AT-X|Docomo Anime Store|Kadokawa Media House|BS NTV|Kadokawa|Simplicity|Bandai Namco Music Live";"Crunchyroll"
"Kakkou no Iinazuke";"spring";"SynergySP|Shin-Ei Animation";"Harem";"Comedy|Romance";"24/04/2022";"Sundays at 01:30 (JST)";"6.88";"108.392";"PG-13 - Teens 13 or older";"284.632";"2.241";"TV Asahi|Kodansha|Crunchyroll|Kadokawa";"N/A"
"Date A Live IV";"spring";"Geek Toys";"Harem|School";"Action|Fantasy|Romance|Sci-Fi";"08/04/2022";"Fridays at 22:00 (JST)";"7.76";"89.800";"R - 17+ (violence & profanity)";"257.647";"3.465";"AT-X|Nippon Columbia|Docomo Anime Store|Kadokawa Media House|Kadokawa";"Crunchyroll"
"Koi wa Sekai Seifuku no Ato de";"spring";"Project No.9";"Parody";"Action|Comedy|Romance";"08/04/2022";"Fridays at 21:30 (JST)";"7.41";"102.640";"PG-13 - Teens 13 or older";"239.833";"1.033";"Toei Video|Pony Canyon|AT-X|KlockWorx|Asmik Ace|TV Aichi|Yomiuri Shimbun|APDREAM|arma bianca|Bit grooove promotion|Dream Shift|BS Asahi|Happinet Phantom Studios|Bergamo";"Crunchyroll"
"Ao Ashi";"spring";"Production I.G";"Team Sports";"Sports";"09/04/2022";"Saturdays at 18:25 (JST)";"8.18";"108.934";"PG-13 - Teens 13 or older";"216.214";"3.086";"Shogakukan-Shueisha Productions|Marvelous Entertainment|NHK Enterprises|Bandai Spirits";"Crunchyroll"
"Shokei Shoujo no Virgin Road";"spring";"J.C.Staff";"Isekai";"Action|Adventure|Fantasy";"02/04/2022";"Saturdays at 00:30 (JST)";"6.77";"57.512";"R - 17+ (violence & profanity)";"162.887";"733";"Warner Bros. Japan|Hakuhodo DY Music & Pictures|Egg Firm|SB Creative|Creek";"Sentai Filmworks"
"Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season";"spring";"Ajia-do";"Isekai|Reincarnation";"Fantasy";"12/04/2022";"Tuesdays at 02:29 (JST)";"8.07";"77.571";"PG-13 - Teens 13 or older";"160.395";"938";"WOWOW|KlockWorx|flying DOG|BS Fuji|Yomiuri TV Enterprise|TO Books|JTB Next Creation|MediaNet Pictures|Happinet Phantom Studios";"Crunchyroll"
"Mahoutsukai Reimeiki";"spring";"Tezuka Productions";"Anthropomorphic";"Action|Adventure|Comedy|Fantasy";"08/04/2022";"Fridays at 01:58 (JST)";"6.39";"54.982";"PG-13 - Teens 13 or older";"159.667";"750";"TBS|Kodansha|NBCUniversal Entertainment Japan|BS11|Nichion|NichiNare|DMM pictures|Bit grooove promotion";"Crunchyroll"
"Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart";"spring";"Zero-G";"Adult Cast";"Comedy|Romance";"02/04/2022";"Saturdays at 01:30 (JST)";"7.3";"51.702";"PG-13 - Teens 13 or older";"152.503";"514";"Sony Music Entertainment|BS Fuji|Flex Comix|Hokkaido Cultural Broadcasting|Office Nobu|bilibili|Yomiuri TV Enterprise|Kanetsu Investment|Toyo Recording|Global Solutions|SUPA LOVE|BloomZ|Mirai-Kojo|AMG Entertainment|Starry Cube";"N/A"
"Deaimon";"spring";"Encourage Films";"Childcare|Workplace";"Slice of Life";"06/04/2022";"Wednesdays at 23:30 (JST)";"7.55";"43.289";"PG-13 - Teens 13 or older";"97.544";"443";"flying DOG|Kadokawa|Midorimatsu";"N/A"
"Dance Dance Danseur";"spring";"MAPPA";"Performing Arts";"Drama";"09/04/2022";"Saturdays at 01:25 (JST)";"7.83";"34.162";"PG-13 - Teens 13 or older";"85.224";"634";"Mainichi Broadcasting System|Shogakukan|dugout|DMM Music|Creek";"N/A"
"Machikado Mazoku: 2-choume";"spring";"J.C.Staff";"CGDCT|Mahou Shoujo|School";"Comedy|Fantasy";"08/04/2022";"Fridays at 01:28 (JST)";"7.85";"25.263";"PG-13 - Teens 13 or older";"69.248";"341";"Pony Canyon|Houbunsha|Medicos Entertainment|BS11|RAY|Nichion";"Sentai Filmworks"
"Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto";"spring";"Lay-duce";"Idols (Male)|School";"N/A";"07/04/2022";"Thursdays at 22:30 (JST)";"7.27";"25.434";"PG-13 - Teens 13 or older";"68.969";"422";"Movic|Futabasha|U-NEXT|MusicRay’n|INCS toenter|Marui Group|Lawson Entertainment|tamakoshi|flaggs|Laulea Works|Alice";"Crunchyroll"
